Id,Label,modularity_class
David Ridwan Betz,David Ridwan Betz,1
Jinar Saskara,Jinar Saskara,1
Bakul Tempe,Bakul Tempe,1
Nyai Jagat,Nyai Jagat,1
Faizal Assegaf,Faizal Assegaf,1
Mohamad Guntur Romli,Mohamad Guntur Romli,1
Tezar Raharja,Tezar Raharja,1
Nasrul Fatah,Nasrul Fatah,1
kopisufi,kopisufi,1
ina syahputri,ina syahputri,1
Basuki Noegroho,Basuki Noegroho,1
Azvya,Azvya,1
Kondang Merak,Kondang Merak,1
Yush,Yush,1
Habieb Selow,Habieb Selow,1
Eghar Anugrapaksi,Eghar Anugrapaksi,1
Voter Education,Voter Education,1
Zarry,Zarry,1
"Nur Wardhani, PhD, CPIA,""Nur Wardhani, PhD, CPIA"",1"
Husin Alwi,Husin Alwi,1
Rani Kancana,Rani Kancana,1
mohmahfudmdTran,mohmahfudmdTran,1
Panggil aja Purbo,Panggil aja Purbo,1
msaid_didu,msaid_didu,6
muhadklyacho,muhadklyacho,12
nanassiil,nanassiil,1
noire172,noire172,5
CEN666EK,CEN666EK,5
officialptdi,officialptdi,6
olpproject,olpproject,12
pandji,pandji,1
partaiperindo,partaiperindo,1
pindad,pindad,6
pkbbrebes,pkbbrebes,9
ponakannyaom,ponakannyaom,13
Urip Relax,Urip Relax,13
Box2Box Indonesia,Box2Box Indonesia,13
prabowo,prabowo,14
Fedi Nuril,Fedi Nuril,14
Dr Prabu Revolusi,Dr Prabu Revolusi,14
Mrs. Kiky,Mrs. Kiky,14
Ariza Patria,Ariza Patria,14
Anindya N. Bakrie,Anindya N. Bakrie,14
Miya,Miya,14
Ndon,Ndon,14
K_Ompu,K_Ompu,14
B. Prasetya,B. Prasetya,14
Ade Nurulianto,Ade Nurulianto,14
Lukman Simandjuntak,Lukman Simandjuntak,14
maspandam,maspandam,14
prabowoTranslat,prabowoTranslat,15
Susi Pudjiastuti,Susi Pudjiastuti,15
satriohendri,satriohendri,4
slankdotcom,slankdotcom,1
ANAKNYA PAK SANUSI,ANAKNYA PAK SANUSI,1
sociotalker,sociotalker,0
tempodotco,tempodotco,5
timpenguinnas,timpenguinnas,1
tni_ad,tni_ad,6
tomlembong,tomlembong,0
Daeng Rahing,Daeng Rahing,0
William A. Sarana,William A. Sarana,0
tribunnews,tribunnews,16
Tribun Jambi,Tribun Jambi,16
