Id,Label,modularity_class
ᴷʰᵃⁱʳᵘᵈᵈⁱⁿ ᴮᵃʳᵇᵃʳᵒˢˢᵃ ( UDIN ),ᴷʰᵃⁱʳᵘᵈᵈⁱⁿ ᴮᵃʳᵇᵃʳᵒˢˢᵃ ( UDIN ),19
Denny Siregar,Denny Siregar,17
Miss Tweet,Miss Tweet,19
Lex Wu,Lex Wu,17
⚔️Bank Joee⚔️,⚔️Bank Joee⚔️,17
Kompas.com,Kompas.com,18
The Darkside,The Darkside,17
Dj mario,Dj mario,17
Tjeloup ™,Tjeloup ™,17
Bumi Nusantara,Bumi Nusantara,17
Aki Tulalit,Aki Tulalit,17
NEGARA GAGAL,NEGARA GAGAL,17
arichels,arichels,17
Bena Aji Satria,Bena Aji Satria,17
Agi Subagio,Agi Subagio,17
Edy sandoval,Edy sandoval,19
chal's,chal's,17
Eko Kuntadhi,Eko Kuntadhi,17
gibran_tweetTra,gibran_tweetTra,17
M Eddy Soeparno,M Eddy Soeparno,17
Partai Gerindra,Partai Gerindra,17
gibrantweet,gibrantweet,17
Shahierd Naim,Shahierd Naim,17
Pedagang Pejuang Indonesia Raya,Pedagang Pejuang Indonesia Raya,17
hasbipkb,hasbipkb,13
imanlagi,imanlagi,1
cahayamata,cahayamata,1
jokowi,jokowi,19
ZULkifli Hasan,ZULkifli Hasan,19
DARKIE ?? #NKRI ??,DARKIE ?? #NKRI ??,19
Dezilix,Dezilix,19
Rizmaya,Rizmaya,19
Ketua Tim Sukses Prabowo Gibran,Ketua Tim Sukses Prabowo Gibran,19
"??Djerry Lim?? NKRI jiwa ragaku,✊","??Djerry Lim?? NKRI jiwa ragaku,✊",19
kaesangp,kaesangp,19
DPP PSI,DPP PSI,19
Vëe ?,Vëe ?,19
kangdede78,kangdede78,19
?????????????™,?????????????™,19
kemendagri,kemendagri,18
keuangannews_id,keuangannews_id,1
Bagusokya,Bagusokya,1
kikysaputrii,kikysaputrii,10
SJYD,SJYD,10
kompascom,kompascom,19
kurawa,kurawa,19
Hanny Indrina,Hanny Indrina,19
Anies Mania,Anies Mania,19
mawardinurullah,mawardinurullah,17
mazzini_gsp,mazzini_gsp,10
ᵐᵃʳˣ ˢʰᵒᵒᵗ ˡᵒʷ,ᵐᵃʳˣ ˢʰᵒᵒᵗ ˡᵒʷ,10
mohmahfudmd,mohmahfudmd,18
mahdi wijaya,mahdi wijaya,18
KotjoNegoro????,KotjoNegoro????,18
Sammy,Sammy,18
thv ?,thv ?,18
nesta suhun,nesta suhun,18
M@D3,M@D3,18
Eka Puspita,Eka Puspita,18
Laode M Syarif,Laode M Syarif,18
bonie,bonie,18
Ambrosius Mulait,Ambrosius Mulait,18
Anak Gagak,Anak Gagak,18
Arnold Belau,Arnold Belau,18
Luthfan - The Destroy World,Luthfan - The Destroy World,18
Ganjar Pranowo,Ganjar Pranowo,18
Hick Matt,Hick Matt,18
Berry Silalahi,Berry Silalahi,18
Thomas Eka Prasetya ??,Thomas Eka Prasetya ??,18
B K Simamora(SGB-Jabar),B K Simamora(SGB-Jabar),18
Jara_Mbojo,Jara_Mbojo,18
Negeri para bedebah..,Negeri para bedebah..,18
Kiki Taufik,Kiki Taufik,18
Rakyat-Jelata,Rakyat-Jelata,18
ErrorBoy,ErrorBoy,18
Kolonials-NKRI?,Kolonials-NKRI?,18
8,8,18
Andy R. Wijaya,Andy R. Wijaya,18
Dianawati Seri,Dianawati Seri,18
Ba Bir,Ba Bir,18
Ruben Diaz,Ruben Diaz,18
Achmad Hidayat.. Lovers... 35,Achmad Hidayat.. Lovers... 35,18
dedy,dedy,18
Hooman,Hooman,18
Ibnu Fatwa,Ibnu Fatwa,18
Prima Sp Vardhana,Prima Sp Vardhana,18
Heni ?? | Free ??,Heni ?? | Free ??,18
Ucok Kalimatua Siregar,Ucok Kalimatua Siregar,18
novel baswedan,novel baswedan,18
Yuni Satia Rahayu,Yuni Satia Rahayu,18
G.Harahap ??,G.Harahap ??,18
Muhammad Farraz,Muhammad Farraz,18
Zink Zank ?,Zink Zank ?,18
hasratsenja,hasratsenja,18
Frans Dipo,Frans Dipo,18
Sangrewok?,Sangrewok?,18
ᴍᵇᵃᵏ ɪⁱˢ ᴡᵃᵉ,ᴍᵇᵃᵏ ɪⁱˢ ᴡᵃᵉ,18
